epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
82,train,250000,127,15.606299212598431,9,20,0.1,20500000,1000000,1.34178,4.14558239022e-06,5125000,192897.27165799998,1987.4305520000053,125.7905589447733
82,test,125000,72,18.65277777777778,14,21,0.05,20500000,1000000,1.34178,0,5125000,193245.60634099998,348.31256399999256,358.8730724051707
83,train,250000,126,15.253968253968253,5,20,0.1,20750000,1000000,1.32713,4.03985954883e-06,5187500,195227.270103,1981.6618179999932,126.15674265365537
83,test,125000,73,18.438356164383567,14,21,0.05,20750000,1000000,1.32713,0,5187500,195628.76761799998,401.481031000003,311.3472128151406
84,train,250000,127,15.228346456692915,3,20,0.1,21000000,1000000,1.3404,4.29290466726e-06,5250000,197622.85055399998,1994.080753999995,125.37105104621085
84,test,125000,71,18.112676056338028,2,21,0.05,21000000,1000000,1.3404,0,5250000,197971.62628099998,348.7505179999862,358.4224067016438
85,train,250000,128,15.289062499999998,9,20,0.1,21250000,1000000,1.3297,4.00167826555e-06,5312500,199960.71326999998,1989.0848429999896,125.68594088874735
85,test,125000,70,17.857142857142858,11,21,0.05,21250000,1000000,1.3297,0,5312500,200309.202559,348.4675210000132,358.71348825073215
86,train,250000,127,15.66141732283465,7,21,0.1,21500000,1000000,1.43439,3.76040981328e-06,5375000,202310.848313,2001.6436570000078,124.89735579343383
86,test,125000,70,17.971428571428575,14,21,0.05,21500000,1000000,1.43439,0,5375000,202659.81799399998,348.9482260000077,358.219330795501
87,train,250000,127,15.456692913385831,4,21,0.1,21750000,1000000,1.42191,3.90245393069e-06,5437500,204649.30181499998,1989.4815559999843,125.66087845651884
87,test,125000,67,17.820895522388064,10,21,0.05,21750000,1000000,1.42191,0,5437500,204998.41238899998,349.0881819999777,358.075713946707
88,train,250000,128,15.617187499999998,9,21,0.1,22000000,1000000,1.45181,3.65387560496e-06,5500000,206991.91282199998,1993.498403000005,125.40767508204488
88,test,125000,72,18.208333333333343,14,21,0.05,22000000,1000000,1.45181,0,5500000,207340.767305,348.83399300000747,358.33663722100994
89,train,250000,129,15.279069767441863,-9,21,0.1,22250000,1000000,1.19665,3.58747842056e-06,5562500,209336.43167199998,1995.6623390000022,125.27169306871393
89,test,125000,73,18.547945205479447,15,21,0.05,22250000,1000000,1.19665,0,5562500,209686.023816,349.56748600001447,357.58474402277454
90,train,250000,128,15.718749999999993,6,20,0.1,22500000,1000000,1.40097,3.49069807904e-06,5625000,211684.40548299998,1998.3796919999877,125.10135136021064
90,test,125000,73,18.780821917808222,15,21,0.05,22500000,1000000,1.40097,0,5625000,212033.455403,349.0280990000174,358.13735443688097
91,train,250000,124,15.064516129032258,-1,21,0.1,22750000,1000000,1.48449,3.48732709358e-06,5687500,214045.57021799998,2012.1127799999958,124.24750863120134
91,test,125000,74,18.74324324324324,12,21,0.05,22750000,1000000,1.48449,0,5687500,214394.861488,349.2693600000057,357.88996778875185
92,train,250000,128,15.765624999999998,9,20,0.1,23000000,1000000,1.37028,3.39797478281e-06,5750000,216380.78870499998,1985.9251259999874,125.88591419030246
92,test,125000,70,18.385714285714293,14,21,0.05,23000000,1000000,1.37028,0,5750000,216729.646896,348.8366129999922,358.3339458693884
93,train,250000,125,15.288000000000004,3,21,0.1,23250000,1000000,1.38018,3.54231116063e-06,5812500,218723.80964899997,1994.160652999999,125.36602786937053
93,test,125000,73,18.68493150684932,15,21,0.05,23250000,1000000,1.38018,0,5812500,219072.699543,348.86533100000815,358.30444842911913
94,train,250000,124,15.17741935483871,-1,21,0.1,23500000,1000000,1.43787,3.69618696561e-06,5875000,221178.448454,2105.7469280000078,118.72271861151165
94,test,125000,71,18.436619718309863,13,21,0.05,23500000,1000000,1.43787,0,5875000,221672.810297,494.34399799999665,252.86035737405848
95,train,250000,127,15.685039370078737,10,21,0.1,23750000,1000000,1.38568,3.63880002605e-06,5937500,223764.499793,2091.687393,119.52072801922748
95,test,125000,73,18.89041095890411,15,21,0.05,23750000,1000000,1.38568,0,5937500,224113.484725,348.9624109999859,358.2047695102756
